	target_text
304	What is the purpose of image processing
305	What are the advantages of image processing
306	How is image processing used in engineering
307	What does least squares regression line mean
308	How do you find the least squares regression line in two variables
309	What is the difference between discrete and continuous data
310	What is quantitative data discrete and continuous
311	What is lambda in regularization
312	What are layers in TensorFlow
313	What is the difference between singular value and eigenvalue
314	How many types of learning curves are there
315	What is your learning curve
316	What are the phases of learning curve
317	Why do we take the log of a variable
318	How do you interpret log variables in regression
319	What are four properties of knowledge representation technique
320	What are the characteristics of a good knowledge representation technique explain each of them in brief
321	What are the various issues in knowledge representation
322	How many predictors can you include in a regression model
323	Is null hypothesis statistical significance
324	What does statistical significance mean in hypothesis testing
325	What does it mean if the standard deviation is less than the mean
326	What is the relationship between the standard deviation of the sample mean and the population standard deviation
327	Why the sampling distribution is less variable than the population distribution
328	Why is the sample mean equal to the population mean
329	How is weighted kappa calculated
330	What is an acceptable kappa value
331	How do you find a random variable
332	What is a random variable in stats
333	What is the random variable Z
334	What is the second moment of a random variable
335	What is a realization of a random variable
336	What is the moment of a function
337	Why Social Media Analytics is important
338	How can social media analytics help
339	What are the benefits of analytics
340	What are supervised and unsupervised learning
341	What are unsupervised machine learning algorithms
342	How do you find the probability of a probability density function
343	What is probability density class 11
344	How do you write a probability function
345	Is regression A multivariate analysis
346	What is multivariate analysis
347	What is multivariate multiple linear regression
348	Why is linear regression used
349	What is regression typically used for
350	How do you define a vector field
351	How do you find a vector field
352	What is the flow of a vector field
353	What are the 2 types of t test
354	What is the difference between a paired t test and a 2 sample t test
355	Which type of t test should I use
356	What is the difference between a one sample t test and Az test
357	What does the F distribution tell you
358	What is the F distribution used for
359	What is the meaning of power spectral density
360	How do you use power spectral density
361	Is Apriori supervised or unsupervised
362	Which learning method is an association rule
363	What is association rule in data mining
364	How does non response bias work
365	What does non response bias mean
366	What is an example of observer bias
367	What is the difference between actor observer bias and self serving bias
368	WHO concluded that the actor observer bias is wrong
369	During what type of interactions is the actor observer effect is most prevalent
370	What is feature extraction in data mining
371	What is the example of feature extraction
372	What is meant by factor analysis
373	How do you perform a factor analysis
374	How do you find the number of factors in factor analysis
375	What is the best sampling method
376	How do you treat outliers in data
377	How do you normalize an outlier
378	What is RC high pass filter
379	How does RC low pass filter work
380	How is high pass filter calculated
381	What is difference between RC low pass filter and RC high pass filter
382	What is a biased point estimator
383	What is prior distribution in Bayesian
384	How do you calculate posterior predictive distribution
385	What is a PDF in statistics
386	What is a CDF in statistics
387	Is CDF the integral of PDF
388	What is a good cross entropy loss value
389	What are the properties of regression analysis
390	How do you describe regression analysis
391	What are the 2 variables in a regression analysis
392	What are the objectives of regression analysis
393	What is mixed model regression
394	Is there a difference between mean and median
395	What is geometric mean
396	Why does ReLU work better than sigmoid
397	How does KNN algorithm work
398	How does Knn determine k value
399	How do you use Knn in regression
400	Is cluster sampling a random sampling method
401	Which sampling methods are random
402	What is a non random sample
403	Is Lstm an algorithm
404	Under what condition regression analysis is best suitable for prediction
405	How do you know if a regression model is appropriate
406	How do you transform data that is not normally distributed
407	How do you change a normal distribution to a standard normal distribution
408	What allows us to apply normal calculations to non normal distributions
409	What do you do with non normal distribution
410	How do Z scores related to normal distribution
411	How does the distribution of z scores compare to the relationship between the standard deviation and the normal distribution
412	Are Z scores restricted to normal distributions
413	Is Z distribution the same as normal distribution
414	What is considered a good NPS score
415	What are the parameters of random forest
416	Why do we need assumptions in machine learning
417	Is Random Forest a regression model
418	Which are the two main criteria on which we can judge an algorithm
419	What are the two characteristics of algorithm
420	What are the 2 kinds of algorithm efficiency
421	How do you find the MLE of a Poisson distribution
422	How do you calculate Poisson parameter
423	What is connectionism theory of learning
424	What is the effect of the finite population correction factor on a sample based estimate
425	What is a finite sample
426	How do you calculate proportions
427	How do you find the mean of a sample size and proportion
428	What is proportion percentage in statistics
429	What is a continuous random variable give some examples
430	What is a continuous random variable
431	What are two examples of continuous variables
432	Is age a continuous random variable
433	Why we use k fold cross validation
434	How do you select K fold cross validation
435	Is enthalpy the opposite of entropy
436	How do you reverse entropy
437	Is there negative entropy
438	Is entropy the same as chaos
439	Can generative models be used for classification
440	Where can I get sample data sets
441	How do I download a dataset
442	How do you collect a dataset
443	What is cross sectional and time series data
444	What is the difference between panel data and cross sectional data
445	Why is Multicollinearity bad
446	Is Multicollinearity a potential problem
447	How do you know if multicollinearity is a problem
448	Why Multicollinearity increases standard error
449	What does effect size tell us in statistics
450	How do you explain effect size
451	What does a large effect size mean in statistics
452	Is Monte Carlo a Bayesian
453	Why is MCMC Bayesian
454	Where is MCMC used
455	Is MCMC machine learning
456	What can you do with edge detection
457	What is meant by edge detection
458	How do you use cosine similarity
459	Which algorithm is used for clustering
460	What are the steps in designing a machine learning problem explain the checkers problem
461	How do you check the value of a tensor
462	How do you measure a tensor
463	How do you read a TensorFlow graph
464	What is discriminant analysis in machine learning
465	Is LDA a classifier
466	What is LDA used for
467	What is the null hypothesis for a chi square test
468	How do you cross tabulate data
469	Is two way Anova Multivariate
470	What type of analysis is Anova
471	Is Anova a bivariate analysis
472	How do you find the sample size when given the standard deviation and confidence interval
473	How do you find the sample size given a confidence interval
474	How do you use multiclass classification in logistic regression
475	Who gave the definition of probability
476	Who established the link between the concept of probability and statistics
477	Why OLS is extensively used in regression analysis
478	Why is OLS a good estimator
479	Why do we use regression in real life
480	What is the Adam Optimizer
481	What is Optimizer in Tensorflow
482	How does Adam Optimiser work
483	What does the Optimizer do
484	What is meant by vanishing gradient problem
485	How is SSE and MSE calculated
486	How do topic models work
487	Is Topic Modeling NLP
488	What is IIR and FIR filter
489	Where are IIR filters used
490	What is meant by FIR filter
491	What is IIR in DSP
492	What is a cost function in ML
493	What is the use of cost function in machine learning
494	Which of the following problems can be modeled as constraints satisfaction problems
495	What is the purpose of oversampling
496	Why is oversampling bad
497	How would compare one class and multiclass classification explain with a suitable example
498	What is multi class classification problem
499	How do you interpret a confidence interval in regression
500	What is p value in regression
501	How is the P value calculated
502	What are some examples of the cognitive technologies of AI
503	What is artificial cognition
504	Is dropout better than L2
505	Is dropout a regularization
506	What is the use of convolution layer in CNN
507	What is weight normalization
508	What is dropout and batch normalization
509	What is a test set and why would you want to use it
510	How do you explain an S curve
511	What is financial S curve
512	What do you mean by interpolation
513	What is interpolation in deep learning
514	What is interpolation in sampling
515	What is interpolation and extrapolation
516	What are the examples of unsupervised learning
517	What is unsupervised machine learning explain with example
518	What does high TNF alpha mean
519	Is TNF alpha good or bad
520	What does low TNF alpha mean
521	How does TNF alpha cause inflammation
522	Why should we not use KNN algorithm for large datasets
523	Is SVM only for binary classification
524	How do you know if an estimator is biased
525	Is the mean a biased or unbiased estimator
526	Can an estimator be biased and consistent
527	What is meant by transfer learning
528	What is transfer of learning with examples
529	How do I import Mnist dataset to Sklearn
530	How is the Mnist dataset stored
531	What does the confidence interval mean
532	What is the purpose of a confidence interval for a mean
533	Why is confidence interval important
534	How do you analyze a stock chart
535	What is the null distribution of the test statistic
536	What distribution does the t test statistic follow if the null hypothesis is true
537	What is the distribution of the z test statistic under the null hypothesis
538	What distribution does the test statistic follow
539	What is regression tree method
540	How is principal component calculated
541	What is principal component analysis example
542	How do you analyze principal component analysis
543	Is Knn better than logistic regression
544	Can Knn be used for both classification and regression How do you find optimal K in Knn
545	Can Knn be used for continuous target
546	Is logistic regression neural network
547	How is neural network different from logistic regression
548	Is logistic regression a learning machine
549	Is logistic regression a supervised learning algorithm
550	What is Z statistics
551	What are Z and T scores
552	What does T score mean in statistics
553	Is degrees of freedom N 2
554	How did artificial intelligence begin
555	Where was AI invented
556	What is the meaning of p value
557	What is the P value rule
558	What does the P value tell you
559	How is Bayes theorem different from conditional probability
560	What is predictive modeling in machine learning
561	What is predictive modeling
562	Is sampling distribution the same as population
563	What is sampling distribution mean
564	What is the difference between sample mean and population mean
565	How do you know if a distribution is geometric
566	How do you know if its binomial or geometric
567	What does Underfitting mean
568	What is Underfitting in model evaluation
569	How do I know if my model is Overfitting or Underfitting
570	What is a cause of skewed data
571	What does it mean when a distribution is skewed to the left
572	How do you tell which way a distribution is skewed
573	How do you do probability density function
574	What is the density of a normal distribution
575	What are expert system in AI
576	What is expertise in intelligent systems
577	What is difference between intelligent system and expert system
578	Which one can be used for both classification and regression
579	How do you calculate random probability
580	How will you find the probability to each value of a random variable
581	What is random variable in probability with example
582	What can decision trees be used for
583	What are the pros and cons of decision tree
584	What is likelihood in statistics
585	What do you mean by likelihood
586	What's the difference between likelihood and probability
587	What is autoregressive neural network
588	What does a correlation of 0.8 mean
589	Is a correlation coefficient of 0.8 strong
590	Is 0.7 A strong correlation
591	Which is better statistics or data science
592	Do I need statistics for data science
593	How do you determine the sample mean
594	How do you find the mean of two different means
595	How do you find the population mean and sample mean difference
596	Why is RMS used instead of average
597	What is difference between RMS and average value
598	What is the difference between K means and K nearest neighbor
599	Is K nearest neighbor supervised or unsupervised
600	Does K mean unsupervised
601	How do you do a regression with a categorical variable in SPSS
602	What is categorical regression
603	What is the difference between a univariate Anova and a multivariate Anova
604	Is Anova a multivariate analysis
605	What is the difference between joint probability distribution and likelihood function
606	What is L1 and L2 regularization
607	How do you do a subgroup analysis in SPSS
608	How do I run a correspondence analysis in SPSS
609	How do you do correspondence analysis
610	How do you analyze two variables in SPSS
611	How do you predict using a regression model
612	How do you predict a regression equation
613	How do you predict using multiple regression
614	What is the predictor in regression analysis
615	Why does a correlation not prove a causal mechanism
616	Do correlations allow us to determine causality
617	What does Bayesian approach mean
618	What does it mean to have a Bayesian brain
619	Why do we use N 1 instead of N
620	Why do we use N 1 in the denominator when calculating a sample variance
621	What is the major task of NLP
622	What is the difference between Poisson regression and logistic regression
623	Which regression should I use
624	What are the benefits of neural networks
625	Can we calculate precision for multi class classification using confusion metrics
626	How do you calculate accuracy in multi class classification
627	Can we use random forest technique for feature selection
628	What does a nonlinear association look like
629	What is the difference between positive and negative association
630	What is window size in CNN
631	What is Gaussian high pass filter
632	Is Gaussian filter edge preserving
633	What does alpha state feel like
634	What is vector space and subspace
635	What are my implicit biases
636	What is the difference between power and power spectral density
637	How do you calculate power spectral density
638	How weights are updated in Delta Rule
639	What is RBF ML
640	What is the advantage of radial basis function network
641	What is Gaussian radial basis function
642	What does a kurtosis of 3 mean
643	What level of kurtosis and skewness is acceptable
644	How do you interpret kurtosis and skewness values
645	What is a skip connection
646	Why are Skip connections used in ResNets
647	Is the P value the effect size
648	How do you calculate effect size
649	What effect size tells us
650	Is LDA supervised or unsupervised
651	Is linear discriminant analysis Parametric
652	What does linear discriminant analysis do
653	What is an example of continuous random variable
654	How do you show a discrete random variable
655	Is age a discrete random variable
656	What is mean of discrete random variable
657	What is LD1 and LD2 in LDA
658	What is an LDA score
659	How do you calculate LDA
660	What is momentum in training
661	What is ML momentum
662	What is momentum and learning rate in neural network
663	Which of the following is an example of multiclass classification
664	Is neural network a classification
665	What are generative and discriminative models
666	What is bivariate distribution in statistics
667	What is normal distribution example
668	What are the 4 characteristics of a normal distribution
669	Is genetic algorithm unsupervised learning
670	What is the relation between PDF and CDF
671	What is the use of non parametric test
672	What is the point of regression analysis
673	What is Data Visualization in machine learning
674	What is meant by visualization
675	What is the purpose of visualization
676	What is visualization and why is it important
677	How do you know when to use a binomial distribution or a negative binomial distribution
678	How do you know when to use the binomial distribution to model a situation what are the requirements for a binomial experiment
679	What are the conditions for using binomial distribution
680	What is unsupervised learning algorithms
681	Is dense layer a hidden layer
682	What are hidden layers in neural networks
683	What is kernel initializer
684	How does angular detect changes
685	What triggers change detection in angular
686	How does angular 7 detect changes
687	What is change detection analysis
688	How do you reduce variability in statistics
689	What causes high variance
690	How do you fix high bias
691	Why do we use weights in neural network
692	What is the role of weights and bias in a neural network
693	What is bias and weight
694	What is the significance of weight and bias in an artificial neuron
695	What happens if there is autocorrelation
696	What does ACF plot tell us
697	When should I learn TensorFlow
698	What can you build with TensorFlow
699	Which training methods for GANs actually converge
700	How do you find the variance in regression
701	How do you interpret Vif in multiple regression
702	What does variance accounted for mean
703	Where has fuzzy inference system been implemented
704	What are the applications of fuzzy inference systems
705	What is frame error
706	What is sample error in research
707	What is sampling error and why is it important
708	How do you choose variables for clustering
709	Which type of data mining is most suitable for categorical variables
710	Is sample standard deviation the same as standard deviation
711	What does sample standard deviation mean
712	What is the difference between standard deviation and standard deviation of mean
713	What is the difference between SX and ΣX
714	How does hierarchical clustering work
715	What is embedding in machine learning
716	Is kernel in SVM a similarity function
717	What's the kernel trick and how is it useful
718	What is gamma distribution used for
719	What is the expectation of a gamma distribution
720	What is the variance of a gamma distribution
721	What is MIN MAX algorithm in artificial intelligence
722	What is the complexity of Minimax algorithm is same as
723	What does the log likelihood tell you
724	What is the purpose of integration
725	What is integration in simple words
726	What is integration and its application
727	What is classification loss
728	What are variational Autoencoders used for
729	What are the advantages of using a variational Autoencoder ahead of a normal Autoencoder
730	Why are the formulas different for population standard deviation and sample standard deviation
731	How does the variance of the sample mean compare to the variance of the population group of answer choices
732	Why are there different formulas for standard deviation
733	What is NLP tokenization
734	How do you do tokenization
735	What does Gaussian noise mean
736	How does Gaussian noise work
737	What is image noise in image processing
738	What is Overfitting in neural network
739	What is Overfitting and how is it determined
740	What is Overfitting and how can you avoid it
741	What is meant by bias in machine learning
742	What does an R squared value of 0.3 mean
743	What does an R squared value of 0.2 mean
744	What is a good R2 score
745	How do you interpret R2 value
746	What is data abuse
747	Can statistics be misused explain with example
748	What is meant by statistical learning
749	What do you learn in statistics for data science
750	What is the difference between statistical learning and machine learning
751	What does Perceptron mean
752	Why is Perceptron used
753	What is Perceptron MCQs
754	What is kernel trick SVM
755	What is the primary motivation for using the kernel trick in machine learning algorithms
756	How does Gaussian kernel work
757	Is deep learning unsupervised learning
758	What does deep learning mean
759	What is difference between deep learning and machine learning
760	What does it mean to have a low correlation
761	What are the types of machine learning
762	What are the 2 types of machine learning
763	What is agent and types of agent
764	Whats is an agent
765	What is Agent function in AI
766	What are the advantages of sampling
767	What is an example of symmetric distribution
768	What does symmetrical data mean
769	How do you know if a distribution is symmetric
770	What is symmetric distribution skewness and kurtosis
771	What does or mean in statistics
772	What is L1 L2 regularization
773	How does L2 regularization work
774	What are the properties of a cryptographic hash function
775	What are the applications of a hash function
776	What is squashing function why it is needed
777	What is sigmoid in deep learning
778	What is sigmoid function in logistic regression
779	What is the best test to be used to test a hypothesis when we have categorical variables with two possible outcomes
780	Is t test for categorical data
781	What are the characteristics of filter
782	Which one is the example of linear filter
783	How do you find the compound probability of independent events
784	How do you find the probability of A and B independent
785	What is oversampling machine learning
786	What is random search algorithm
787	Why is covariance of independent variables 0
788	What does it mean for covariance to be 0
789	How do you find the covariance of two random variables
790	What is the role of NLG and NLU in NLP
791	What is NLG in machine learning
792	What is the difference between normal distribution and t distribution
793	Why do we use chi square distribution
794	How do you identify different chi square distributions
795	What is Backpropagation in deep learning
796	What do we aim to optimize in the back propagation pass
797	What is gradient descent in simple terms
798	What is momentum Optimizer
799	How do you describe the distribution of data
800	How do you describe the shape of a distribution
801	How do you describe the distribution of a dot plot
802	Why do we use kernels in SVM
803	What is the purpose of kernel function
804	Why Gaussian kernel is used in SVM
805	When to use a Mann Whitney U test
806	What can I use instead of a t test
807	How do you solve vanishing gradient problem in RNN
808	What leads to the vanishing or exploding gradient problem in RNN
809	How can vanishing gradients be prevented
810	What does it mean if two events are disjoint
811	What does it mean to be disjoint
812	Can two events be both disjoint and independent
813	What does it mean if two events A and B are mutually exclusive
814	What do you do if results are not statistically significant
815	What is the difference between relative density and density
816	What do you mean by density and relative density
817	What is called relative density
818	What is definition of density
819	How many hidden layers are there
820	Does Perceptron have hidden layers
821	How do you choose the best machine learning model
822	How can I improve my machine learning model
823	What is binary cross entropy
824	What is the difference between binary Crossentropy and categorical Crossentropy
825	Does prevalence affect sensitivity
826	How is sensitivity determined
827	What is the difference between factors and components
828	Is Principal Component Analysis A factor analysis
829	What is a component matrix
830	What is component transformation matrix in factor analysis
831	What is posterior distribution
832	What does prior mean in statistics
833	What is a normal distribution of scores
834	What is the most frequent score in a distribution
835	What does distribution mean
836	How do you determine normal distribution
837	What are control problems
838	How do I get started with object detection
839	What is object detection in machine learning
840	Which model is best for object detection
841	Why do we need object detection
842	How do you divide standard deviation
843	Why do we divide by N 1 when calculating standard deviation
844	How does N affect standard deviation
845	What is standard deviation equal to
846	What is CNN in image processing
847	Does Yolo use CNN
848	What does R CNN stand for
849	What is the difference between CNN and RCNN
850	What is the difference between validation set and test set
851	What does the size of a test set depend on
852	Why do random effects
853	Why is random effects more efficient
854	How do you calculate joint distribution
855	How do you find the joint pdf of X and Y
856	What is statistics in machine learning
857	What is statistical Modelling used for
858	What is statistical methods
859	How does a regression model work
860	Is Word2Vec supervised or unsupervised
861	What is disparate treatment discrimination and how is it proved
862	What is a disparate impact analysis
863	How is validation accuracy calculated
864	What does it mean when you are multimodal
865	Are histograms univariate
866	What does univariate mean
867	When would you use a neural network
868	What is regression neural network
869	How is neural network different from linear regression
870	Why regression is used in machine learning
871	Can SVM for multiclass classification
872	What is multiclass SVM
873	What is the Kolmogorov Smirnov test used for
874	What is a good KS score
875	What is KS test p value
876	How do you test for nonlinear correlation
877	What is a non linear correlation
878	How do you know if data is linear or nonlinear
879	How Kalman filter is implemented in Arduino
880	What are the 2 types of statistics
881	What is difference between descriptive and inferential statistics
882	What are the two types of statistics quizlet
883	What is pre pruning and post pruning approach in decision tree model
884	What is low dimensional data
885	How do you deal with high dimensional data
886	What is a dimension in machine learning
887	What is concept learning
888	What do you mean by Concept Learning in machine learning
889	What is the difference between simple mean and weighted mean
890	What is a discrete probability distribution
891	What is the difference between discrete and continuous
892	What is a continuous probability distribution
893	What is the difference between the probability distribution of a discrete random variable and that of a continuous random variable select each correct answer
894	What is another word for ensemble
895	What do you mean by dummy variable
896	Is age a dummy variable
897	How many dummy variables are there
898	What is a private label example
899	What are the two main types of error in machine learning models
900	How do you calculate classification error
901	How do you measure accuracy in classification
902	What is the difference between cross sectional and time series data
903	What is a time series analysis
904	What is cross sectional ratio
905	What is cross sectional analysis in accounting
906	Is correlation necessary for regression
907	When should you use regression analysis
908	Can you use correlation to predict
909	Are correlation and linear regression the same
910	Is Jordan network a recurrent neural network
911	Why Bayes theorem is important in machine learning
912	What is Bayes learning
913	On which of the mentioned points is the Bayesian theorem reasonable to apply
914	Why do we need to prune a decision tree explain the two pruning method
915	How do you evaluate a decision tree
916	How long does it take to learn probability
917	How do you get good at probability
